iter	Passed	Remaining
773	2358	688
774	2363	686
775	2365	682
776	2367	679
777	2421	690
778	2422	687
779	2427	684
780	2429	681
781	2431	677
782	2433	674
783	2436	671
784	2440	668
785	2443	665
786	2445	661
787	2447	658
788	2449	655
789	2451	651
790	2473	653
791	2476	650
792	2478	646
793	2481	643
794	2489	642
795	2493	639
796	2495	635
797	2498	632
798	2538	638
799	2541	635
800	2543	631
801	2566	633
802	2569	630
803	2571	626
804	2575	623
805	2577	620
806	2582	617
807	2586	614
808	2588	611
809	2591	607
810	2595	604
811	2597	601
812	2611	600
813	2613	597
814	2616	593
815	2618	590
816	2620	586
817	2622	583
818	2628	580
819	2631	577
820	2634	574
821	2659	575
822	2661	572
823	2664	569
824	2667	565
825	2672	563
826	2687	562
827	2689	558
828	2691	555
829	2693	551
830	2695	548
831	2697	544
832	2702	541
833	2704	538
834	2705	534
835	2707	531
836	2708	527
837	2710	523
838	2711	520
839	2713	516
840	2717	513
841	2718	510
842	2720	506
843	2721	503
844	2723	499
845	2724	495
846	2726	492
847	2727	488
848	2731	485
849	2733	482
850	2735	478
851	2736	475
852	2739	472
853	2741	468
854	2742	465
855	2746	462
856	2748	458
857	2750	455
858	2752	451
859	2754	448
860	2757	445
861	2760	441
862	2762	438
863	2763	435
864	2764	431
865	2766	428
866	2768	424
867	2770	421
868	2775	418
869	2777	414
870	2779	411
871	2781	408
872	2783	404
873	2786	401
874	2791	398
875	2793	395
876	2795	392
877	2797	388
878	2799	385
879	2800	381
880	2804	378
881	2806	375
882	2808	372
883	2810	368
884	2811	365
885	2814	362
886	2815	358
887	2817	355
888	2819	352
889	2821	348
890	2822	345
891	2824	342
892	2826	338
893	2828	335
894	2831	332
895	2833	328
896	2835	325
897	2837	322
898	2839	319
899	2841	315
900	2843	312
901	2845	309
902	2847	305
903	2907	308
904	2910	305
905	2912	302
906	2914	298
907	2915	295
908	2917	292
909	2922	289
910	2924	285
911	2926	282
912	2929	279
913	2938	276
914	2941	273
915	2953	270
916	2956	267
917	2958	264
918	2968	261
919	2970	258
920	2973	255
921	2978	251
922	2984	248
923	2990	245
924	3004	243
925	3006	240
926	3009	236
927	3011	233
928	3015	230
929	3018	227
930	3020	223
931	3022	220
932	3024	217
933	3026	213
934	3032	210
935	3034	207
936	3036	204
937	3039	200
938	3052	198
939	3055	195
940	3057	191
941	3063	188
942	3065	185
943	3068	182
944	3070	178
945	3077	175
946	3079	172
947	3081	169
948	3083	165
949	3108	163
950	3111	160
951	3113	156
952	3115	153
953	3117	150
954	3120	147
955	3122	143
956	3124	140
957	3126	137
958	3128	133
959	3130	130
960	3132	127
961	3139	124
962	3142	120
963	3144	117
964	3151	114
965	3154	111
966	3156	107
967	3159	104
968	3164	101
969	3166	97
970	3168	94
971	3170	91
972	3172	88
973	3177	84
974	3179	81
975	3185	78
976	3188	75
977	3196	71
978	3205	68
979	3207	65
980	3209	62
981	3211	58
982	3212	55
983	3217	52
984	3219	49
985	3220	45
986	3222	42
987	3224	39
988	3225	35
989	3226	32
990	3228	29
991	3231	26
992	3232	22
993	3234	19
994	3235	16
995	3237	13
996	3239	9
997	3240	6
998	3244	3
999	3245	0
